Sample,Location,Transect,Marker,Marker_depth,Date,Time,Conductivity_75_mid,Do_75_mid,Do_150_mid,NSp,New_Sp,Cum._NSp,Time_Period,Secchi_mid,Temperature_0_mid,Temperature_75_mid,Temperature_150_mid,Temperature_500_5m,Transectstartnotes,Wind_Direction,Wind_Speed,Habitat_Comments,Conductivity_0_5m,Conductivity_0_mid,Conductivity_150_mid,Do_0_mid,End:_Rubble,End:_Silt,Habitat_Date,Habitat_Time,M1_Description,M1lat,M1long,M2lat,M2long,Macro:_Ceratophyllum,Macro:_Myriophyllum,Macro:_Nuphar,Macro:_Nymphaea,Macro:_Potamogeton,Macro:_Vallisneria,Macrophyte_Density,Macrophyte_Observer,Macrophyte_Notes,Secchi_5m,Start:_Rubble,Start:_Silt
9430,HAMH,HH50,,,5/30/2018,10:25:00 PM,,,,2,2,2,2,,21.64,,,,,,,,,771,,12.2,,,5/30/2018,9:50:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,,,,,,0,,,,,
9448,HAMH,HH50,,,6/26/2018,10:54:00 PM,,,,2,1,3,2,2.2,22.26,,,,,2,2,,,757,,8.99,,,6/26/2018,3:08:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,,,,,,0,,,,,
9780,HAMH,HH50,,,8/9/2018,10:27:00 PM,,,,8,5,9,2,,,,,,,,,,,,,,,,8/9/2018,,,43.27554717,-79.86837751,43.27502209,-79.86756905,,3,,,,,1,,rip-rap on shore side,,,
9830,HAMH,HH50,,,10/11/2018,7:52:00 PM,,,,6,1,10,2,,18.26,,,,,,,,,560,,8.72,,,10/11/2018,7:52:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,1,,,,,1,CMB,,,,
10123,HAMH,HH50,,,5/21/2019,11:54:00 PM,,111.8,,9,3,13,2,1.55,13.13,10.84,,,,,,(do .75 colum) DO% = 111.8?(temp 1.75 colum) pH = 10.84?,,740,,11.7,,,5/21/2019,6:59:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,,,,,,0,,,,,
10233,HAMH,HH50,,,6/17/2019,9:54:00 PM,,110.6,,6,2,16,2,1.7,18.24,8.43,1.4,,,,,DO = 110.6%??pH = 8.43??Turb = 1.40,,728,,10.4,,,6/17/2019,,,43.27554717,-79.86837751,43.27502209,-79.86756905,,,,,,,0,,,,,
10296,HAMH,HH50,,,7/17/2019,10:25:00 PM,,143.7,,2,0,17,2,,25.18,8.89,,,,,,"DO = 143.7%??pH = 8.89??SAV = sparse, myriophyllum",,683,,11.81,,,7/17/2019,10:25:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,1,,,,,1,,,,,
10355,HAMH,HH50,,,8/20/2019,12:46:00 AM,,,,4,0,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10409,HAMH,HH50,,,10/16/2019,8:40:00 PM,,,,7,1,18,2,,15.018,,,,,,,,,517,,8.61,,,10/16/2019,8:40:00 PM,,,,,,,,,,,,0,CMB,,,,
10544,HAMH,HH50,,,7/16/2020,1:23:00 AM,,,,1,0,18,2,,25.19,,,,,,,,,649,,11.35,1,1,7/16/2020,1:23:00 AM,,,,,,,,,,,,2,CMB,,,1,1
10635,HAMH,HH50,,,9/23/2020,10:37:00 PM,,,,11,0,18,2,,18.457,8.77,6,,,,,ph=8.77?ntu=6,,488,,13.11,,,9/23/2020,10:37:00 PM,,,,,,,,,,,,1,CMB,,,,
10684,HAMH,HH50,,,10/21/2020,8:01:00 PM,,,,5,0,18,2,,13.6,7.95,2.51,,,,,ph=7.95?ntu=2.51,,484.8,,10.27,,,10/21/2020,8:01:00 PM,,,,,,,,,,,,0,CMB,,,,
10779,HAMH,HH50,,,7/28/2021,9:23:00 PM,8.83,,,1,0,18,2,,24.33,,,,,,,ph 8.83?ntu 3.22,,632,3.22,10.94,,,7/28/2021,9:23:00 PM,,43.27549,-79.86841,43.27502,-79.86756,,,,,,1,1,,,,,
10736,HAMH,HH50,,,8/24/2021,11:13:00 PM,,,,5,0,18,2,,25.99,,,,,,,ntu 4.88,,570,4.88,12.71,,,8/24/2021,11:13:00 PM,,43.27549,-79.86842,43.27501,-79.86761,,,,,,1,,,,,,
10816,HAMH,HH50,,,10/20/2021,9:36:00 PM,,,,8,0,18,2,,16.88,,,,,,,ph 8.03?ntu 3.13,,588,3.13,6.87,,,10/20/2021,9:36:00 PM,,,,,,,,,,,,0,,,,,
10837,HAMH,HH50,,,8/3/2022,12:32:00 AM,,8.41,0.69,4,0,18,2,,21.75,,,,% power 20?3200 watts,,,ph 8.41?ntu .69,,599,,8.97,,,8/3/2022,12:32:00 AM,,,,,,,,,,,,,,,,,
10843,HAMH,HH50,,,10/24/2022,8:20:00 PM,,7.91,1.43,7,2,20,2,,12.34,,,,3500 watts?%power 20,,,ph 7.91?ntu 1.43,,510,,8.68,,,10/24/2022,8:20:00 PM,,43.27551,-79.8685,43.27526,-79.86762,,,,,,,,,,,,
10867,HAMH,HH50,,,5/10/2023,11:53:00 PM,,7.9,1.84,3,0,20,2,,14.32,,,,%pwoer 20?power 2887 W,4,2,ph 7.9?ntu 1.84?cond 610?,,760,,9.98,,,5/10/2023,11:53:00 PM,,43.2755,-79.8684,43.275,-79.8676,,,,,,,0,,,,,
11071,HAMH,HH50,,,10/3/2023,11:02:00 PM,,12.4,,13,2,22,2,,21.3,,,,Power (w): 3600?Peak amps:29?Peak Volts:135?Duty Cycle: 20?Hz: 120,,,Start Lat:43.2755?Start Long:-79.8684?End Lat:43.275?End Long:-79.8676?Temp (C):21.30?DO (mg/L):12.4?SPC COND:543?STD COND:505?pH:7.03?Turb NTU:6.88,,543,,,,,10/3/2023,11:02:00 PM,,,,,,,,,,,,0,,,,,
9431,HAMH,HH51,,,5/30/2018,10:32:00 PM,,,,4,2,24,2,,21.64,,,,,,,,,771,,12.2,,,5/30/2018,9:50:00 PM,,43.27502209,-79.86756905,43.2741885,-79.86697619,,,,,,,0,,,,,
9452,HAMH,HH51,,,6/26/2018,11:00:00 PM,,,,3,0,24,2,,22.58,,,,,2,2,,,758,,9.05,,,6/26/2018,3:09:00 PM,,43.27502209,-79.86756905,43.2741885,-79.86697619,,,,,,,,,,2.2,,
9781,HAMH,HH51,,,8/9/2018,10:44:00 PM,,,,6,0,24,2,,,,,,generator stopped 2 times,,,,,,,,,,8/9/2018,,,43.27502209,-79.86756905,43.2741885,-79.86697619,,,,,,,1,CMB,Rubble/ riprap along shore,,,
9831,HAMH,HH51,,,10/11/2018,7:30:00 PM,,,,9,0,24,2,,18.26,,,,,,,,,560,,8.72,,,10/11/2018,7:30:00 PM,,43.27502209,-79.86756905,43.2741885,-79.86697619,,1,,,,,1,CMB,,,,
