Sample,Location,Transect,Date,Time,Estimate,F0014,F0041,F0051,F0061,F0063,F0073,F0075,F0076,F0078,F0081,F0121,F0131,F0163,F0166,F0168,F0170,F0171,F0177,F0181,F0186,F0194,F0196,F0198,F0201,F0203,F0208,F0209,F0220,F0231,F0233,F0234,F0236,F0251,F0282,F0291,F0301,F0302,F0311,F0312,F0313,F0314,F0316,F0317,F0319,F0320,F0331,F0334,F0341,F0342,F0361,F0366,F0371,F0601,F0702,Time Period
1568,HAMH,HH39,1988-05-30,10:30:00 AM,N,,,,3307.1,,,7.9,,,,,,,,,,,,,6650,,16,,,,,,,,4420.2,,,,,,295,,174,,42,,,,,,132,,,,,,740,,,1
1569,HAMH,HH37,1988-05-30,11:30:00 AM,N,,,,122,,,,,,,,,,,,,,,,4520,,21,,,,,,,,630,,,,,,356,,,,,,,,,,164,,,,,,980,,,1
1570,HAMH,HH35,1988-05-30,1:30:00 PM,N,,,,208,,,4,,580,,,,,,,,,,,,,11,,,,,,,,369,,,,,,1090,,,,,,,,,,,,,,,,1700,,,1
1571,HAMH,HH33,1988-05-30,2:30:00 PM,N,,,,215,,,14.2,,,,,,810,,,,,,,,,286.2,,,,,,,,950,,,,,,3983,,,,,,,,,,167,,,,,,,,,1
1572,HAMH,HH31,1988-05-31,1:30:00 PM,N,,,,2191,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1573,HAMH,HH29,1988-05-31,2:30:00 PM,N,,,,1276.8,,,,,,,,,,,,,,,,,,32,,,,,,,,140,,,,,,216,,,,,,,,,,,,,,,,,,,1
1574,HAMH,HH27,1988-06-01,9:30:00 AM,N,,,,,,,6,,,,,,,,,,,,,9960,,400,,,,,,,,355,,,,,,374,,,,,,,,,,182,,,,,,,,,1
1575,HAMH,HH25,1988-06-01,10:30:00 AM,N,,,,28,,,,,,,,,,,,,,,,28140,,41,,19,,,,,,3076,,,,,,17233,,,,116.4,,,,,,605,,,,,,,,,1
1576,HAMH,HH23,1988-06-01,2:18:00 PM,N,,,,659,,,,,,,,,265,,,,,,,,,15,,,,,,,,5246,,,,,,685,,,,,,,,,,156,,,,,,,,,1
1577,HAMH,HH21,1988-06-01,3:18:00 PM,N,,,,576,,,,,,,,,955,,,,,,,,,46,,,,,,,,2971,,,,,,379.6,,,,41,,,,,,140,,,,,,,,,1
1578,HAMH,HH15,1988-06-01,5:18:00 PM,N,,,,1773,,,,,,,,,224,,,,,,,19700,,33,,,,,,,,300,,,,,,3543,,,,,,,,,,,,,,,,,,,1
1579,HAMH,HH13,1988-06-02,9:44:00 AM,N,,,,269,,,,,,,,,,,,,,,,12350,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,1
