Sample,Location,Transect,Date,Species,Individual_id,Batch_count,Batch_weight,Estimate,Biomass,Length,Weight,Number Individuals
9371,HAMH,HH4,2018-05-22,F0201,1,,,N,3,64,3,1
9371,HAMH,HH4,2018-05-22,F0366,1,,,N,97,144,49,2
9371,HAMH,HH4,2018-05-22,F0366,2,,,N,97,140,48,2
9372,HAMH,HH6,2018-05-23,F0301,1,,,N,780,178,105,7
9372,HAMH,HH6,2018-05-23,F0301,2,,,N,780,196,159,7
9372,HAMH,HH6,2018-05-23,F0301,3,,,N,780,175,94,7
9372,HAMH,HH6,2018-05-23,F0301,4,,,N,780,160,88,7
9372,HAMH,HH6,2018-05-23,F0301,5,,,N,780,149,50,7
9372,HAMH,HH6,2018-05-23,F0301,6,,,N,780,205,161,7
9372,HAMH,HH6,2018-05-23,F0301,7,,,N,780,184,123,7
9373,HAMH,HH8,2018-05-23,F0196,1,,,B,5.8,77,4,3
9373,HAMH,HH8,2018-05-23,F0196,2,,,W,5.8,43,0.8,3
9373,HAMH,HH8,2018-05-23,F0196,3,,,B,5.8,47,1,3
9373,HAMH,HH8,2018-05-23,F0301,1,,,N,783,178,108,7
9373,HAMH,HH8,2018-05-23,F0301,2,,,N,783,196,159,7
9373,HAMH,HH8,2018-05-23,F0301,3,,,N,783,175,94,7
9373,HAMH,HH8,2018-05-23,F0301,4,,,N,783,160,88,7
9373,HAMH,HH8,2018-05-23,F0301,5,,,N,783,149,50,7
9373,HAMH,HH8,2018-05-23,F0301,6,,,N,783,205,161,7
9373,HAMH,HH8,2018-05-23,F0301,7,,,N,783,184,123,7
9374,HAMH,HH9,2018-05-22,F0163,1,,,N,1215,454,1215,1
9374,HAMH,HH9,2018-05-22,F0301,1,,,N,487,219,187,5
9374,HAMH,HH9,2018-05-22,F0301,2,,,N,487,160,70,5
9374,HAMH,HH9,2018-05-22,F0301,3,,,N,487,177,97,5
9374,HAMH,HH9,2018-05-22,F0301,4,,,N,487,172,94,5
9374,HAMH,HH9,2018-05-22,F0301,5,,,N,487,132,39,5
9374,HAMH,HH9,2018-05-22,F0311,1,,,N,335,167,107,2
9374,HAMH,HH9,2018-05-22,F0311,2,,,N,335,204,228,2
9375,HAMH,HH10A,2018-05-22,F0163,1,,,N,6340,388,690,6
9375,HAMH,HH10A,2018-05-22,F0163,2,,,N,6340,420,950,6
9375,HAMH,HH10A,2018-05-22,F0163,3,,,N,6340,474,1340,6
9375,HAMH,HH10A,2018-05-22,F0163,4,,,N,6340,482,1410,6
9375,HAMH,HH10A,2018-05-22,F0163,5,,,N,6340,365,650,6
9375,HAMH,HH10A,2018-05-22,F0163,6,,,N,6340,472,1300,6
9376,HAMH,HH11,2018-05-22,F0163,1,,,N,1050,440,1050,1
9377,HAMH,HH12,2018-05-22,F0063,1,,,N,2965,405,1040,3
9377,HAMH,HH12,2018-05-22,F0063,2,,,N,2965,410,1023,3
9377,HAMH,HH12,2018-05-22,F0063,3,,,N,2965,384,902,3
9377,HAMH,HH12,2018-05-22,F0163,1,,,N,4026,450,1150,3
9377,HAMH,HH12,2018-05-22,F0163,2,,,N,4026,488,1502,3
9377,HAMH,HH12,2018-05-22,F0163,3,,,N,4026,460,1374,3
9377,HAMH,HH12,2018-05-22,F0301,1,,,N,91,142,55,2
9377,HAMH,HH12,2018-05-22,F0301,2,,,N,91,126,36,2
9377,HAMH,HH12,2018-05-22,F0311,1,,,N,118,165,118,1
9378,HAMH,HH14,2018-05-22,F0063,1,,,N,904,430,904,1
9378,HAMH,HH14,2018-05-22,F0196,1,,,N,5,81,5,1
9379,HAMH,HH16,2018-05-22,F0196,1,,,N,9,85,5,4
9379,HAMH,HH16,2018-05-22,F0196,2,,,N,9,61,1,4
9379,HAMH,HH16,2018-05-22,F0196,3,,,N,9,53,1,4
9379,HAMH,HH16,2018-05-22,F0196,4,,,N,9,63,2,4
9381,HAMH,HH18,2018-05-25,F0063,1,,,N,658,355,658,1
9381,HAMH,HH18,2018-05-25,F0301,1,,,N,48,139,48,1
9383,HAMH,HH19,2018-05-25,F0063,1,,,N,776,374,776,1
9383,HAMH,HH19,2018-05-25,F0186,1,,,N,3080,550,3080,1
9383,HAMH,HH19,2018-05-25,F0301,1,,,N,121,167,85,2
9383,HAMH,HH19,2018-05-25,F0301,2,,,N,121,135,36,2
9383,HAMH,HH19,2018-05-25,F0311,1,,,N,178,200,178,1
9385,HAMH,HH26,2018-05-24,F0063,1,,,N,1297,360,615,2
9385,HAMH,HH26,2018-05-24,F0063,2,,,N,1297,350,682,2
9385,HAMH,HH26,2018-05-24,F0302,1,,,N,244,246,244,1
9385,HAMH,HH26,2018-05-24,F0334,1,,,N,1860,530,1860,1
9386,HAMH,HH28,2018-05-24,F0061,1,,,N,7,104,7,1
9387,HAMH,HH43B,2018-05-24,F0063,1,,,N,2084,355,735,3
9387,HAMH,HH43B,2018-05-24,F0063,2,,,N,2084,345,676,3
9387,HAMH,HH43B,2018-05-24,F0063,3,,,N,2084,360,673,3
9387,HAMH,HH43B,2018-05-24,F0163,1,,,N,454,326,454,1
9387,HAMH,HH43B,2018-05-24,F0186,1,,,N,2110,400,1157,2
9387,HAMH,HH43B,2018-05-24,F0186,2,,,N,2110,695,953,2
9387,HAMH,HH43B,2018-05-24,F0301,1,,,N,159,148,56,2
9387,HAMH,HH43B,2018-05-24,F0301,2,,,N,159,174,103,2
9388,HAMH,HH30,2018-05-23,F0061,1,,,N,15,112,15,1
9388,HAMH,HH30,2018-05-23,F0063,1,,,N,640,366,640,1
9388,HAMH,HH30,2018-05-23,F0201,1,,,N,2,61,2,1
9388,HAMH,HH30,2018-05-23,F0301,1,,,N,11,92,11,1
9388,HAMH,HH30,2018-05-23,F0331,1,,,N,10,94,10,1
9389,HAMH,HH32,2018-05-23,F0061,1,,,N,70,147,31,4
9389,HAMH,HH32,2018-05-23,F0061,2,,,N,70,121,17,4
9389,HAMH,HH32,2018-05-23,F0061,3,,,N,70,105,10,4
9389,HAMH,HH32,2018-05-23,F0061,4,,,N,70,104,12,4
9389,HAMH,HH32,2018-05-23,F0063,1,,,N,1457,400,105,3
9389,HAMH,HH32,2018-05-23,F0063,2,,,N,1457,309,502,3
9389,HAMH,HH32,2018-05-23,F0063,3,,,N,1457,392,850,3
9389,HAMH,HH32,2018-05-23,F0196,1,,,N,13,85,6,2
9389,HAMH,HH32,2018-05-23,F0196,2,,,N,13,87,7,2
9389,HAMH,HH32,2018-05-23,F0301,1,,,N,9,87,9,1
9390,HAMH,HH34,2018-05-23,F0063,1,,,N,9843,370,780,15
9390,HAMH,HH34,2018-05-23,F0063,2,,,N,9843,377,800,15
9390,HAMH,HH34,2018-05-23,F0063,3,,,N,9843,360,650,15
9390,HAMH,HH34,2018-05-23,F0063,4,,,N,9843,345,500,15
9390,HAMH,HH34,2018-05-23,F0063,5,,,N,9843,367,680,15
9390,HAMH,HH34,2018-05-23,F0063,6,,,N,9843,360,650,15
9390,HAMH,HH34,2018-05-23,F0063,7,,,N,9843,340,570,15
9390,HAMH,HH34,2018-05-23,F0063,8,,,N,9843,355,620,15
9390,HAMH,HH34,2018-05-23,F0063,9,,,N,9843,372,710,15
9390,HAMH,HH34,2018-05-23,F0063,10,,,N,9843,373,630,15
9390,HAMH,HH34,2018-05-23,F0063,11,,,N,9843,355,610,15
9390,HAMH,HH34,2018-05-23,F0063,12,,,N,9843,350,620,15
9390,HAMH,HH34,2018-05-23,F0063,13,,,N,9843,345,550,15
9390,HAMH,HH34,2018-05-23,F0063,14,,,N,9843,385,782,15
9390,HAMH,HH34,2018-05-23,F0063,15,,,N,9843,360,691,15
9390,HAMH,HH34,2018-05-23,F0196,1,,,N,3,70,3,1
9390,HAMH,HH34,2018-05-23,F0311,1,,,N,345,244,345,1
9390,HAMH,HH34,2018-05-23,F0334,1,,,N,2100,560,2100,1
9391,HAMH,HH36,2018-05-23,F0063,1,,,N,4259,365,791,6
9391,HAMH,HH36,2018-05-23,F0063,2,,,N,4259,350,671,6
9391,HAMH,HH36,2018-05-23,F0063,3,,,N,4259,350,647,6
9391,HAMH,HH36,2018-05-23,F0063,4,,,N,4259,382,719,6
9391,HAMH,HH36,2018-05-23,F0063,5,,,N,4259,370,682,6
9391,HAMH,HH36,2018-05-23,F0063,6,,,N,4259,375,749,6
9391,HAMH,HH36,2018-05-23,F0196,1,,,N,12,63,2,3
9391,HAMH,HH36,2018-05-23,F0196,2,,,N,12,73,6,3
9391,HAMH,HH36,2018-05-23,F0196,3,,,N,12,67,4,3
9391,HAMH,HH36,2018-05-23,F0301,1,,,N,123,168,75,2
9391,HAMH,HH36,2018-05-23,F0301,2,,,N,123,143,48,2
9391,HAMH,HH36,2018-05-23,F0311,1,,,N,1193,225,312,6
9391,HAMH,HH36,2018-05-23,F0311,2,,,N,1193,170,131,6
9391,HAMH,HH36,2018-05-23,F0311,3,,,N,1193,148,171,6
9391,HAMH,HH36,2018-05-23,F0311,4,,,N,1193,140,62,6
9391,HAMH,HH36,2018-05-23,F0311,5,,,N,1193,229,305,6
9391,HAMH,HH36,2018-05-23,F0311,6,,,N,1193,206,212,6
9391,HAMH,HH36,2018-05-23,F0331,1,,,N,105,209,105,1
9391,HAMH,HH36,2018-05-23,F0334,1,,,N,482,348,482,1
9392,HAMH,HH37,2018-05-23,F0061,1,,,N,10,94,10,1
9392,HAMH,HH37,2018-05-23,F0063,1,,,N,3083,364,680,5
9392,HAMH,HH37,2018-05-23,F0063,2,,,N,3083,362,580,5
9392,HAMH,HH37,2018-05-23,F0063,3,,,N,3083,355,592,5
9392,HAMH,HH37,2018-05-23,F0063,4,,,N,3083,350,666,5
9392,HAMH,HH37,2018-05-23,F0063,5,,,N,3083,358,565,5
9392,HAMH,HH37,2018-05-23,F0196,1,,,N,27,72,5,6
9392,HAMH,HH37,2018-05-23,F0196,2,,,N,27,65,3,6
9392,HAMH,HH37,2018-05-23,F0196,3,,,N,27,91,8,6
9392,HAMH,HH37,2018-05-23,F0196,4,,,N,27,64,3,6
9392,HAMH,HH37,2018-05-23,F0196,5,,,N,27,71,5,6
9392,HAMH,HH37,2018-05-23,F0196,6,,,N,27,66,3,6
9392,HAMH,HH37,2018-05-23,F0301,1,,,N,93,176,93,1
9392,HAMH,HH37,2018-05-23,F0311,1,,,N,338,195,162,2
9392,HAMH,HH37,2018-05-23,F0311,2,,,N,338,195,176,2
9392,HAMH,HH37,2018-05-23,F0313,1,,,N,24,100,24,1
9392,HAMH,HH37,2018-05-23,F0317,1,,,N,1070,380,1070,1
9393,HAMH,HH38,2018-05-23,F0061,1,,,N,51,152,37,2
9393,HAMH,HH38,2018-05-23,F0061,2,,,N,51,114,14,2
9393,HAMH,HH38,2018-05-23,F0063,1,,,N,8239,355,668,12
9393,HAMH,HH38,2018-05-23,F0063,2,,,N,8239,360,667,12
9393,HAMH,HH38,2018-05-23,F0063,3,,,N,8239,362,639,12
9393,HAMH,HH38,2018-05-23,F0063,4,,,N,8239,365,681,12
