Common_Name,Repoductive_guild
Alewife,Phyto-lithophils
American eel,Litho-pelagophils
Bigmouth buffalo,Litho-pelagophils
Bluegill,Polyphils
Bluntnose minnow,Speleophils
Bowfin,Phytophils
Brook silverside,Phyto-lithophils
Brown bullhead,Speleophils
Carp,Phyto-lithophils
Chinook salmon,Lithophils
Common shiner,Lithophils
Emerald shiner,Pelagophils
Gizzard shad,Litho-pelagophils
Golden shiner,Phytophils
Goldfish,Phytophils
Green sunfish,Polyphils
Largemouth bass,Polyphils
Logperch,Lithophils
Northern pike,Phytophils
Pumpkinseed,Polyphils
Rock bass,Polyphils
Round Goby,Lithophils
Rudd,Phyto-lithophils
Shorthead redhorse,Lithophils
Smallmouth bass,Polyphils
Spottail shiner,Litho-pelagophils
Walleye(yellow pickerel),Litho-pelagophils
White perch,Phyto-lithophils
White sucker,Litho-pelagophils
Yellow perch,Phyto-lithophils
