ACCESS_CODE,GENUS,SPECIES,COMMON_NAME,,,,,,,,,,,,,,,,
F0011,Lampetra,appendix,American brook lamprey,,,,,,,,,,,,,,,,
F0012,Ichthyomyzon,fossor,Northern brook lamprey,,,,,,,,,,,,,,,,
F0013,Ichthyomyzon,unicuspis,Silver lamprey,,,,,,,,,,,,,,,,
F0014,Petromyzon,marinus,Sea lamprey,,,,,,,,,,,,,,,,
F0015,Ichthyomyzon,,Lampreys,,,,,,,,,,,,,,,,
F0021,Polyodon,spathula,Paddlefish,,,,,,,,,,,,,,,,
F0031,Acipenser,fulvescens,Lake sturgeon,,,,,,,,,,,,,,,,
F0041,Lepisosteus,osseus,Longnose gar,,,,,,,,,,,,,,,,
F0042,Lepisosteus,oculatus,Spotted gar,,,,,,,,,,,,,,,,
F0051,Amia,calva,Bowfin,,,,,,,,,,,,,,,,
F0061,Alosa,pseudoharengus,Alewife,,,,,,,,,,,,,,,,
F0062,Alosa,sapidissima,American shad,,,,,,,,,,,,,,,,
F0063,Dorosoma,cepedianum,Gizzard shad,,,,,,,,,,,,,,,,
F0064,Alosa,,Alosa sp.,,,,,,,,,,,,,,,,
F0071,Oncorhynchus,gorbuscha,Pink salmon,,,,,,,,,,,,,,,,
F0072,Oncorhynchus,keta,Chum salmon,,,,,,,,,,,,,,,,
F0073,Oncorhynchus,kisutch,Coho salmon,,,,,,,,,,,,,,,,
F0074,Oncorhynchus,nerka,Sockeye salmon,,,,,,,,,,,,,,,,
F0075,Oncorhynchus,tshawytscha,Chinook salmon,,,,,,,,,,,,,,,,
F0076,Oncorhynchus,mykiss,Rainbow trout,,,,,,,,,,,,,,,,
F0077,Salmo,salar,Atlantic salmon(l),,,,,,,,,,,,,,,,
F0078,Salmo,trutta,Brown trout,,,,,,,,,,,,,,,,
F0079,Salvelinus,alpinus,Arctic char,,,,,,,,,,,,,,,,
F0080,Salvelinus,fontinalis,Brook trout,,,,,,,,,,,,,,,,
F0081,Salvelinus,namaycush,Lake trout,,,,,,,,,,,,,,,,
F0082,Salvelinus,fontinalis.namaycush,Splake,,,,,,,,,,,,,,,,
F0083,Salvelinus,fontinalis timagami.,Aurora trout,,,,,,,,,,,,,,,,
F0085,,,Salmo sp.,,,,,,,,,,,,,,,,
F0091,Coregonus,clupeaformis,Lake whitefish,,,,,,,,,,,,,,,,
F0092,Coregonus,alpenae,Longjaw cisco,,,,,,,,,,,,,,,,
F0093,Coregonus,artedii,Cisco(lake herring),,,,,,,,,,,,,,,,
F0094,Coregonus,hoyi,Bloater,,,,,,,,,,,,,,,,
F0095,Coregonus,johannae,Deepwater cisco(chub),,,,,,,,,,,,,,,,
F0096,Coregonus,kiyi,Kiyi,,,,,,,,,,,,,,,,
F0097,Coregonus,nigripinnis,Blackfin cisco,,,,,,,,,,,,,,,,
F0098,Coregonus,nipigon,Nipigon cisco,,,,,,,,,,,,,,,,
