"","Year","Area","AreaYear","Common_Name","mean_abundance_sp_per_year_transect"
"1","2018","Construction Site","Construction Site-2018","American eel",1
"2","2018","Construction Site","Construction Site-2018","Carp",1
"3","2018","Construction Site","Construction Site-2018","Gizzard shad",25
"4","2018","Construction Site","Construction Site-2018","Largemouth bass",2
"5","2018","Construction Site","Construction Site-2018","Rock bass",1
"6","2018","Construction Site","Construction Site-2018","White perch",2
"7","2018","Macassa Bay","Macassa Bay-2018","Alewife",5
"8","2018","Macassa Bay","Macassa Bay-2018","American eel",1
"9","2018","Macassa Bay","Macassa Bay-2018","Bluegill",2
"10","2018","Macassa Bay","Macassa Bay-2018","Brown bullhead",1.75
"11","2018","Macassa Bay","Macassa Bay-2018","Carp",1
"12","2018","Macassa Bay","Macassa Bay-2018","Carp x Goldfish hybrid",1
"13","2018","Macassa Bay","Macassa Bay-2018","Gizzard shad",7.61538461538461
"14","2018","Macassa Bay","Macassa Bay-2018","Goldfish",1
"15","2018","Macassa Bay","Macassa Bay-2018","Largemouth bass",1.4
"16","2018","Macassa Bay","Macassa Bay-2018","Pumpkinseed",1
"17","2018","Macassa Bay","Macassa Bay-2018","Rock bass",2
"18","2018","Macassa Bay","Macassa Bay-2018","Rudd",2
"19","2018","Macassa Bay","Macassa Bay-2018","Spottail shiner",5
"20","2018","Macassa Bay","Macassa Bay-2018","Walleye(yellow pickerel)",1
"21","2018","Macassa Bay","Macassa Bay-2018","White perch",1.75
"22","2018","Macassa Bay","Macassa Bay-2018","White sucker",2
"23","2018","Macassa Bay","Macassa Bay-2018","Yellow perch",1.33333333333333
"24","2018","Piers 5-7","Piers 5-7-2018","Bluegill",6.2
"25","2018","Piers 5-7","Piers 5-7-2018","Bowfin",1
"26","2018","Piers 5-7","Piers 5-7-2018","Brook silverside",1.33333333333333
"27","2018","Piers 5-7","Piers 5-7-2018","Brown bullhead",1.33333333333333
"28","2018","Piers 5-7","Piers 5-7-2018","Gizzard shad",30.4545454545455
"29","2018","Piers 5-7","Piers 5-7-2018","Goldfish",1
"30","2018","Piers 5-7","Piers 5-7-2018","Largemouth bass",6.5
"31","2018","Piers 5-7","Piers 5-7-2018","Logperch",7.25
"32","2018","Piers 5-7","Piers 5-7-2018","Pumpkinseed",2
"33","2018","Piers 5-7","Piers 5-7-2018","Rock bass",2.4
"34","2018","Piers 5-7","Piers 5-7-2018","Round Goby",1
"35","2018","Piers 5-7","Piers 5-7-2018","Smallmouth bass",1
"36","2018","Piers 5-7","Piers 5-7-2018","Spottail shiner",2
"37","2018","Piers 5-7","Piers 5-7-2018","White perch",2.16666666666667
"38","2018","Piers 5-7","Piers 5-7-2018","Yellow perch",1
"39","2018","Piers 5-7","Piers 5-7-2018",NA,0
"40","2019","Construction Site","Construction Site-2019","Brook silverside",4
"41","2019","Construction Site","Construction Site-2019","Gizzard shad",7
"42","2019","Construction Site","Construction Site-2019","Goldfish",1
"43","2019","Construction Site","Construction Site-2019","Largemouth bass",2
"44","2019","Construction Site","Construction Site-2019","Logperch",14
"45","2019","Construction Site","Construction Site-2019","Rock bass",1
"46","2019","Construction Site","Construction Site-2019","Smallmouth bass",1
"47","2019","Construction Site","Construction Site-2019","Spottail shiner",1
"48","2019","Construction Site","Construction Site-2019","White perch",2.5
"49","2019","Construction Site","Construction Site-2019","White sucker",1
"50","2019","Construction Site","Construction Site-2019","Yellow perch",1
"51","2019","Macassa Bay","Macassa Bay-2019","Alewife",3.54545454545455
"52","2019","Macassa Bay","Macassa Bay-2019","Bigmouth buffalo",1
"53","2019","Macassa Bay","Macassa Bay-2019","Bluegill",1.4
"54","2019","Macassa Bay","Macassa Bay-2019","Brook silverside",2.07692307692308
"55","2019","Macassa Bay","Macassa Bay-2019","Brown bullhead",4
"56","2019","Macassa Bay","Macassa Bay-2019","Carp",1.5
"57","2019","Macassa Bay","Macassa Bay-2019","Chinook salmon",1
"58","2019","Macassa Bay","Macassa Bay-2019","Emerald shiner",3.16666666666667
"59","2019","Macassa Bay","Macassa Bay-2019","Gizzard shad",3.75
"60","2019","Macassa Bay","Macassa Bay-2019","Goldfish",1.5
"61","2019","Macassa Bay","Macassa Bay-2019","Green sunfish",1
"62","2019","Macassa Bay","Macassa Bay-2019","Largemouth bass",2.22222222222222
"63","2019","Macassa Bay","Macassa Bay-2019","Logperch",4.6
"64","2019","Macassa Bay","Macassa Bay-2019","Pumpkinseed",1.5
"65","2019","Macassa Bay","Macassa Bay-2019","Rock bass",1
"66","2019","Macassa Bay","Macassa Bay-2019","Rudd",1
"67","2019","Macassa Bay","Macassa Bay-2019","Spottail shiner",17
"68","2019","Macassa Bay","Macassa Bay-2019","White perch",1
"69","2019","Macassa Bay","Macassa Bay-2019","White sucker",2
"70","2019","Macassa Bay","Macassa Bay-2019","Yellow perch",2.75
"71","2019","Macassa Bay","Macassa Bay-2019",NA,0
"72","2019","Piers 5-7","Piers 5-7-2019","Alewife",7.2
"73","2019","Piers 5-7","Piers 5-7-2019","American eel",1.5
"74","2019","Piers 5-7","Piers 5-7-2019","Bluegill",2.7
"75","2019","Piers 5-7","Piers 5-7-2019","Brook silverside",4.8
"76","2019","Piers 5-7","Piers 5-7-2019","Brown bullhead",1
"77","2019","Piers 5-7","Piers 5-7-2019","Carp",1
"78","2019","Piers 5-7","Piers 5-7-2019","Emerald shiner",2
"79","2019","Piers 5-7","Piers 5-7-2019","Gizzard shad",3.61538461538462
"80","2019","Piers 5-7","Piers 5-7-2019","Largemouth bass",3.7
"81","2019","Piers 5-7","Piers 5-7-2019","Logperch",6.6
"82","2019","Piers 5-7","Piers 5-7-2019","Northern pike",1
"83","2019","Piers 5-7","Piers 5-7-2019","Pumpkinseed",5
"84","2019","Piers 5-7","Piers 5-7-2019","Rock bass",3.33333333333333
"85","2019","Piers 5-7","Piers 5-7-2019","Spottail shiner",1
"86","2019","Piers 5-7","Piers 5-7-2019","Walleye(yellow pickerel)",1
"87","2019","Piers 5-7","Piers 5-7-2019","White perch",2.6
"88","2019","Piers 5-7","Piers 5-7-2019","White sucker",1.33333333333333
"89","2019","Piers 5-7","Piers 5-7-2019","Yellow perch",1
"90","2019","Piers 5-7","Piers 5-7-2019",NA,0
"91","2020","Construction Site","Construction Site-2020","Brook silverside",2
"92","2020","Construction Site","Construction Site-2020","Gizzard shad",8.66666666666667
"93","2020","Construction Site","Construction Site-2020","Largemouth bass",1.5
"94","2020","Construction Site","Construction Site-2020","Logperch",5
"95","2020","Construction Site","Construction Site-2020","Northern pike",1
