"","YMD","Year","Transect","Area","AreaTP","AreaYear","TimePeriod","doy","CPUE"
"1","2018-05-28","2018","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",148,1
"2","2018-05-28","2018","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",148,1
"3","2018-05-28","2018","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",148,1
"4","2018-05-28","2018","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",148,0
"5","2018-05-29","2018","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",149,4
"6","2018-05-29","2018","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",149,2
"7","2018-05-30","2018","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",150,0
"8","2018-05-30","2018","HH51","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",150,1
"9","2018-05-30","2018","HH52","Construction Site","Construction Site-Pre","Construction Site-2018","Pre",150,0
"10","2018-05-30","2018","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",150,1
"11","2018-05-30","2018","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",150,0
"12","2018-06-26","2018","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",177,2
"13","2018-06-26","2018","HH51","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",177,4
"14","2018-06-26","2018","HH52","Construction Site","Construction Site-Pre","Construction Site-2018","Pre",177,2
"15","2018-06-26","2018","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",177,3
"16","2018-06-26","2018","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",177,0
"17","2018-06-26","2018","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",177,0
"18","2018-06-26","2018","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",177,7
"19","2018-06-26","2018","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",177,0
"20","2018-06-27","2018","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",178,0
"21","2018-06-27","2018","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",178,5
"22","2018-06-27","2018","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",178,1
"23","2018-08-09","2018","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",221,3
"24","2018-08-09","2018","HH51","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",221,0
"25","2018-08-09","2018","HH52","Construction Site","Construction Site-Pre","Construction Site-2018","Pre",221,1
"26","2018-08-09","2018","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",221,0
"27","2018-08-09","2018","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",221,0
"28","2018-08-09","2018","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",221,4
"29","2018-10-11","2018","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",284,0
"30","2018-10-11","2018","HH51","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",284,1
"31","2019-05-21","2019","HH50","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,2
"32","2019-05-21","2019","HH51","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,1
"33","2019-05-21","2019","HH52","Construction Site","Construction Site-Pre","Construction Site-2019","Pre",141,1
"34","2019-05-21","2019","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,7
"35","2019-05-21","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,2
"36","2019-05-23","2019","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,10
"37","2019-05-23","2019","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,6
"38","2019-05-23","2019","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,9
"39","2019-05-23","2019","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,2
"40","2019-05-23","2019","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,2
"41","2019-05-23","2019","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,6
"42","2019-06-11","2019","HH52","Construction Site","Construction Site-Pre","Construction Site-2019","Pre",162,4
"43","2019-06-11","2019","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",162,8
"44","2019-06-11","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",162,5
"45","2019-06-12","2019","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",163,3
"46","2019-06-12","2019","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",163,1
