"","Sp_Code","Common_Name","Construction Site-2018","Construction Site-2019","Construction Site-2020","Construction Site-2021","Construction Site-2022","Construction Site-2023","Macassa Bay-2018","Macassa Bay-2019","Macassa Bay-2020","Macassa Bay-2021","Macassa Bay-2022","Macassa Bay-2023","Piers 5-7-2018","Piers 5-7-2019","Piers 5-7-2020","Piers 5-7-2021","Piers 5-7-2022","Piers 5-7-2023"
"1","F0051","Bowfin",0,0,0,0,0,0,0,0,0,0,0,0,175.384615384615,0,0,0,0,0
"2","F0061","Alewife",0,0,0,0,0,0,16.2857142857143,20.5333333333333,0.0666666666666667,0.5,9.25,0,0,46.6190476190476,2.66666666666667,0,0,0
"3","F0063","Gizzard shad",11125,2098.8,3457.66666666667,2120.66666666667,1300.5,2160,4725.28571428571,1552.93333333333,1057.44444444444,474.722222222222,1404,1300.8,11812.3846153846,1612.2380952381,3177.58333333333,1030.41666666667,2630.625,4786.3
"4","F0075","Chinook salmon",0,0,0,0,0,0,0,237.333333333333,0,0,572.5,0,0,0,0,0,537.5,0
"5","F0131","Northern pike",0,0,460,0,0,0,0,0,0,100,0,0,0,173.333333333333,0,0,0,0
"6","F0163","White sucker",0,173.8,0,0,0,0,340.214285714286,277.4,0,2.27777777777778,1.375,19,0,179.047619047619,0,0,0,9.5
"7","F0166","Bigmouth buffalo",0,0,0,0,0,0,0,267,375.555555555556,0,307.5,0,0,0,0,598.333333333333,0,421
"8","F0171","Shorthead redhorse",0,0,175.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","F0181","Goldfish",0,98.4,0,0,0,0,253.785714285714,222.433333333333,408.833333333333,742.5,379.25,12.2,31.5384615384615,0,0,82.5,0,0
"10","F0186","Carp",1386.6,0,0,0,0,0,799.5,255.066666666667,217.444444444444,1.72222222222222,1465,0,0,383.809523809524,0,0,0,0
"11","F0194","Golden shiner",0,0,0,0,0,0,0,0,0,0,0,223.4,0,0,0,0,0,0
"12","F0196","Emerald shiner",0,0,0,0,0,0,0,1.63333333333333,2.67777777777778,1.89444444444444,0,5.6,0,2.14285714285714,0,0.25,0,0
"13","F0198","Common shiner",0,0,0,0,0,0,0,0,0,0,0,6.86,0,0,0,0,0,0
"14","F0201","Spottail shiner",0,1,0,0,0,0,9.71428571428571,1.5,3.11111111111111,0.722222222222222,4.625,7.2,2,0.238095238095238,2,0.166666666666667,0,0.9
"15","F0208","Bluntnose minnow",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"16","F0220","Rudd",0,0,0,0,0,2.66666666666667,109.571428571429,10.1,21,57.3888888888889,84,455.6,0,0,5.75,17.4166666666667,2.5,1.2
"17","F0233","Brown bullhead",0,0,0,257,0,160.666666666667,236.714285714286,532.666666666667,1040,192.611111111111,860.75,356.8,12.7692307692308,3.61904761904762,19.75,12.1666666666667,304.75,15.6
"18","F0251","American eel",188.666666666667,0,0,0,0,0,19.2142857142857,0,0,0,0,0,0,65.7142857142857,0,0,0,208
"19","F0301","White perch",47.6666666666667,53.6,30.3333333333333,0,0,87.6,70.5714285714286,5.56666666666667,3,12.6111111111111,45.775,42.4,51.8461538461538,65.1428571428571,11.3333333333333,21,8.25,40.7
"20","F0311","Rock bass",47.3333333333333,85.4,89.3333333333333,0,193,87.3333333333333,74.0714285714286,15.2,18.8888888888889,17.7777777777778,0.875,189.2,93.8461538461538,174.52380952381,254.583333333333,53.75,251.625,271.43
"21","F0312","Green sunfish",0,0,0,0,0,0,0,2.03333333333333,0,0,0,0,0,0,0,0,25.375,10.2
"22","F0313","Pumpkinseed",0,0,0,0,0,26.6666666666667,1.71428571428571,6.33333333333333,7.77777777777778,15.2222222222222,2.75,252,6.15384615384615,20.7619047619048,21.75,3.08333333333333,8,26.1
"23","F0314","Bluegill",0,0,0,0,0,15.7666666666667,1.35714285714286,6.46666666666667,36.1666666666667,37.6666666666667,33.3875,220.88,124.846153846154,35.2380952380952,50.75,20.1666666666667,128.5,106.6
"24","F0316","Smallmouth bass",0,353.6,0,0,0,0,0,0,0,0,0,0,6.46153846153846,0,0,0,0,148.8
"25","F0317","Largemouth bass",527.333333333333,289,41.6666666666667,0,277,504,571,589.4,117.611111111111,202.883333333333,601.8,572.6,82.8153846153846,251.238095238095,474.166666666667,227.833333333333,1230.875,730.7
"26","F0331","Yellow perch",0,12.8,22,0,0,0,17.9285714285714,11.3666666666667,11.6111111111111,59.3888888888889,78,280,19.7692307692308,10.9047619047619,34.75,11.3333333333333,2.5,11.1
"27","F0334","Walleye(yellow pickerel)",0,0,0,566.666666666667,0,773.333333333333,29.7857142857143,0,52.2222222222222,0,86.625,0,0,5.76190476190476,70.0083333333333,492.5,558.75,777
"28","F0342","Logperch",0,21.4,37.3333333333333,0,12,49.6666666666667,0,6.93333333333333,14.8888888888889,7.22222222222222,4.125,30,20.7692307692308,14.8095238095238,91.3333333333333,8.5,52.375,24.4
"29","F0361","Brook silverside",0,1.2,1,2.33333333333333,12.9,1.03333333333333,0,1.45,2.58333333333333,4.77777777777778,10.9375,3.26,0.307692307692308,1.5952380952381,0.5,2.96666666666667,7.9625,0.42
"30","F0366","Round Goby",0,0,0,0,0,0,0,0,0,0,0,0,0.538461538461538,0,0.166666666666667,0,0,2.1
"31","F0601","Carp x Goldfish hybrid",0,0,0,0,0,0,64.8571428571429,0,0,0,0,0,0,0,0,0,0,0
