,Sp_Code,Common_Name,Construction Site-2018,Construction Site-2019,Construction Site-2020,Construction Site-2021,Construction Site-2022,Construction Site-2023,Piers 5-7-2018,Piers 5-7-2019,Piers 5-7-2020,Piers 5-7-2021,Piers 5-7-2022,Piers 5-7-2023,Macassa Bay-2018,Macassa Bay-2019,Macassa Bay-2020,Macassa Bay-2021,Macassa Bay-2022,Macassa Bay-2023
1,F0051,Bowfin,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,F0061,Alewife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.1,0.0,0.0,0.0,0.4,1.3,0.1,0.1,0.5,0.0
3,F0063,Gizzard shad,16.7,2.8,8.7,4.0,1.5,2.3,25.8,2.2,5.8,2.0,3.4,6.1,7.1,2.0,15.9,3.4,1.6,6.0
4,F0075,Chinook salmon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
5,F0131,Northern pike,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
6,F0163,White sucker,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.3,0.0,0.1,0.1,0.4
7,F0166,Bigmouth buffalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0
8,F0171,Shorthead redhorse,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F0181,Goldfish,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.3,0.3,0.6,0.9,0.5,0.2
10,F0186,Carp,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.3,0.0
11,F0194,Golden shiner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
12,F0196,Emerald shiner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.8
13,F0198,Common shiner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
14,F0201,Spottail shiner,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.1,0.0,0.2,2.9,1.1,0.4,0.1,1.0,1.6
15,F0208,Bluntnose minnow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
16,F0220,Rudd,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.3,0.4,0.2,0.4,0.1,0.2,0.4,2.1,6.6
17,F0233,Brown bullhead,0.0,0.0,0.0,0.3,0.0,0.7,0.3,0.1,0.2,0.1,1.8,0.8,0.5,1.6,3.3,0.9,2.3,1.2
18,F0251,American eel,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
19,F0301,White perch,0.7,1.0,0.3,0.0,0.0,3.0,1.0,0.6,0.4,0.2,0.4,0.8,0.5,0.1,0.2,0.2,3.1,2.0
20,F0311,Rock bass,0.3,0.4,0.7,0.0,1.5,0.7,0.9,1.4,2.8,0.5,3.1,3.4,0.3,0.1,0.3,0.2,0.3,2.0
21,F0312,Green sunfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0
22,F0313,Pumpkinseed,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.7,0.6,0.1,0.5,1.0,0.1,0.2,0.3,0.5,0.4,6.6
23,F0314,Bluegill,0.0,0.0,0.0,0.0,0.0,1.0,2.4,1.3,1.6,0.8,3.8,4.1,0.1,0.2,0.9,1.7,1.9,7.8
24,F0316,Smallmouth bass,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
25,F0317,Largemouth bass,0.7,0.4,1.0,0.0,2.0,6.3,2.0,1.8,2.8,0.3,2.9,2.8,0.5,0.7,1.1,2.9,5.9,7.6
26,F0331,Yellow perch,0.0,0.2,0.7,0.0,0.0,0.0,0.1,0.1,0.6,0.1,0.1,0.1,0.3,0.4,0.6,0.8,1.5,4.8
27,F0334,Walleye(yellow pickerel),0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.1,0.2,0.3,0.3,0.1,0.0,0.2,0.0,0.1,0.0
28,F0342,Logperch,0.0,2.8,3.3,0.0,1.0,6.0,2.2,1.6,8.5,0.8,4.8,2.4,0.0,0.8,1.7,0.8,0.4,4.2
