,Sp_Code,Common_Name,Construction Site-2018,Construction Site-2019,Construction Site-2020,Construction Site-2021,Construction Site-2022,Construction Site-2023,Piers 5-7-2018,Piers 5-7-2019,Piers 5-7-2020,Piers 5-7-2021,Piers 5-7-2022,Piers 5-7-2023,Macassa Bay-2018,Macassa Bay-2019,Macassa Bay-2020,Macassa Bay-2021,Macassa Bay-2022,Macassa Bay-2023
1,F0051,Bowfin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,F0061,Alewife,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0
3,F0063,Gizzard shad,17,3,9,4,2,2,26,2,6,2,3,6,7,2,16,3,2,6
4,F0075,Chinook salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,F0131,Northern pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,F0163,White sucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,F0166,Bigmouth buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,F0171,Shorthead redhorse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,F0181,Goldfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
10,F0186,Carp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,F0194,Golden shiner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,F0196,Emerald shiner,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1
13,F0198,Common shiner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,F0201,Spottail shiner,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2
15,F0208,Bluntnose minnow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,F0220,Rudd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
17,F0233,Brown bullhead,0,0,0,0,0,1,0,0,0,0,2,1,1,2,3,1,2,1
18,F0251,American eel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,F0301,White perch,1,1,0,0,0,3,1,1,0,0,0,1,1,0,0,0,3,2
20,F0311,Rock bass,0,0,1,0,2,1,1,1,3,1,3,3,0,0,0,0,0,2
21,F0312,Green sunfish,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,F0313,Pumpkinseed,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,7
23,F0314,Bluegill,0,0,0,0,0,1,2,1,2,1,4,4,0,0,1,2,2,8
24,F0316,Smallmouth bass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,F0317,Largemouth bass,1,0,1,0,2,6,2,2,3,0,3,3,1,1,1,3,6,8
26,F0331,Yellow perch,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,5
27,F0334,Walleye(yellow pickerel),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,F0342,Logperch,0,3,3,0,1,6,2,2,9,1,5,2,0,1,2,1,0,4
29,F0361,Brook silverside,0,1,1,1,6,1,0,1,0,2,5,0,0,1,2,3,6,2
30,F0366,Round Goby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
