"","Sp_Code","Common_Name","Construction Site-Construction","Construction Site-Post","Construction Site-Pre","Macassa Bay-Construction","Macassa Bay-Post","Macassa Bay-Pre","Piers 5-7-Construction","Piers 5-7-Post","Piers 5-7-Pre"
"1","F0051","Bowfin",0,0,0,0,0,0,0,0,1
"2","F0061","Alewife",0,0,0,1,4,45,0,0,37
"3","F0063","Gizzard shad",12,10,70,62,43,300,24,88,254
"4","F0075","Chinook salmon",0,0,0,0,1,1,0,1,0
"5","F0131","Northern pike",0,0,1,1,0,0,0,0,1
"6","F0163","White sucker",0,0,1,1,3,14,0,2,4
"7","F0166","Bigmouth buffalo",0,0,0,0,1,2,2,1,0
"8","F0171","Shorthead redhorse",0,0,1,0,0,0,0,0,0
"9","F0181","Goldfish",0,0,1,17,5,24,1,0,1
"10","F0186","Carp",0,0,1,1,2,8,0,0,2
"11","F0194","Golden shiner",0,0,0,0,3,0,0,0,0
"12","F0196","Emerald shiner",0,0,0,9,4,28,1,0,14
"13","F0198","Common shiner",0,0,0,0,1,0,0,0,0
"14","F0201","Spottail shiner",0,0,1,2,16,81,1,2,7
"15","F0208","Bluntnose minnow",0,0,0,0,1,0,0,0,0
"16","F0220","Rudd",0,1,0,8,50,13,4,5,1
"17","F0233","Brown bullhead",1,2,0,16,24,115,1,22,8
"18","F0251","American eel",0,0,1,0,0,1,0,1,3
"19","F0301","White perch",0,9,8,4,35,12,2,11,31
"20","F0311","Rock bass",0,5,5,4,12,14,6,59,76
"21","F0312","Green sunfish",0,0,0,0,0,1,0,8,0
"22","F0313","Pumpkinseed",0,2,0,9,36,12,1,14,24
"23","F0314","Bluegill",0,3,0,31,54,25,9,71,77
"24","F0316","Smallmouth bass",0,0,2,0,0,0,0,3,1
"25","F0317","Largemouth bass",0,23,7,52,85,46,3,51,96
"26","F0331","Yellow perch",0,0,3,15,36,25,1,2,11
"27","F0334","Walleye(yellow pickerel)",1,1,0,0,1,4,2,5,2
"28","F0342","Logperch",0,20,24,14,24,53,10,62,148
"29","F0361","Brook silverside",3,15,6,45,55,59,21,39,31
"30","F0366","Round Goby",0,0,0,0,0,0,0,2,2
"31","F0601","Carp x Goldfish hybrid",0,0,0,0,0,1,0,0,0
