"","Common_Name","Construction Site-2018","Construction Site-2019","Construction Site-2020","Construction Site-2021","Construction Site-2022","Construction Site-2023","Macassa Bay-2018","Macassa Bay-2019","Macassa Bay-2020","Macassa Bay-2021","Macassa Bay-2022","Macassa Bay-2023","Piers 5-7-2018","Piers 5-7-2019","Piers 5-7-2020","Piers 5-7-2021","Piers 5-7-2022","Piers 5-7-2023"
"1","Alewife",NA,NA,NA,NA,NA,NA,5,39,1,1,4,NA,NA,36,1,NA,NA,NA
"2","American eel",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1
"3","Bigmouth buffalo",NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,2,NA,1
"4","Bluegill",NA,NA,NA,NA,NA,3,2,7,16,31,15,39,31,27,19,9,30,41
"5","Bluntnose minnow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"6","Bowfin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"7","Brook silverside",NA,4,2,3,12,3,NA,27,32,45,45,10,4,24,3,21,36,3
"8","Brown bullhead",NA,NA,NA,1,NA,2,7,48,60,16,18,6,4,2,2,1,14,8
"9","Carp",1,NA,NA,NA,NA,NA,3,3,2,1,2,NA,NA,2,NA,NA,NA,NA
"10","Carp x Goldfish hybrid",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Chinook salmon",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"12","Common shiner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"13","Emerald shiner",NA,NA,NA,NA,NA,NA,NA,19,9,9,NA,4,NA,14,NA,1,NA,NA
"14","Gizzard shad",30,14,26,12,3,7,98,60,142,62,13,30,137,47,70,24,27,61
"15","Golden shiner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"16","Goldfish",NA,1,NA,NA,NA,NA,4,9,11,17,4,1,1,NA,NA,1,NA,NA
"17","Green sunfish",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5
"18","Largemouth bass",2,2,3,NA,4,19,7,20,19,52,47,38,26,37,33,3,23,28
"19","Logperch",NA,14,10,NA,2,18,NA,23,30,14,3,21,23,33,92,10,38,24
"20","Northern pike",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"21","Pumpkinseed",NA,NA,NA,NA,NA,2,1,6,5,9,3,33,2,15,7,1,4,10
"22","Rock bass",1,2,2,NA,3,2,4,4,6,4,2,10,12,30,34,6,25,34
"23","Round Goby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2
"24","Rudd",NA,NA,NA,NA,NA,1,6,3,4,8,17,33,NA,NA,1,4,3,2
"25","Shorthead redhorse",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Smallmouth bass",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3
"27","Spottail shiner",NA,1,NA,NA,NA,NA,40,34,7,2,8,8,4,1,2,1,NA,2
"28","Walleye(yellow pickerel)",NA,NA,NA,1,NA,1,1,NA,3,NA,1,NA,NA,1,1,2,2,3
"29","White perch",2,5,1,NA,NA,9,7,2,3,4,25,10,13,13,5,2,3,8
"30","White sucker",NA,1,NA,NA,NA,NA,6,8,NA,1,1,2,NA,4,NA,NA,NA,2
"31","Yellow perch",NA,1,2,NA,NA,NA,4,11,10,15,12,24,1,3,7,1,1,1
