"","Common_Name","Construction Site-2018","Construction Site-2019","Construction Site-2020","Construction Site-2021","Construction Site-2022","Construction Site-2023","Macassa Bay-2018","Macassa Bay-2019","Macassa Bay-2020","Macassa Bay-2021","Macassa Bay-2022","Macassa Bay-2023","Piers 5-7-2018","Piers 5-7-2019","Piers 5-7-2020","Piers 5-7-2021","Piers 5-7-2022","Piers 5-7-2023"
"1","Alewife",NA,NA,NA,NA,NA,NA,5,3.54545454545455,1,1,1.33333333333333,NA,NA,7.2,1,NA,NA,NA
"2","American eel",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,1
"3","Bigmouth buffalo",NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,1
"4","Bluegill",NA,NA,NA,NA,NA,3,2,1.4,2.66666666666667,2.81818181818182,2.14285714285714,7.8,6.2,2.7,3.8,1.8,6,8.2
"5","Bluntnose minnow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"6","Bowfin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"7","Brook silverside",NA,4,2,3,12,3,NA,2.07692307692308,3.2,6.42857142857143,9,2,1.33333333333333,4.8,1.5,3.5,9,1.5
"8","Brown bullhead",NA,NA,NA,1,NA,2,1.75,4,4.61538461538461,2,3.6,2,1.33333333333333,1,2,1,7,2.66666666666667
"9","Carp",1,NA,NA,NA,NA,NA,1,1.5,1,1,1,NA,NA,1,NA,NA,NA,NA
"10","Carp x Goldfish hybrid",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Chinook salmon",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"12","Common shiner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"13","Emerald shiner",NA,NA,NA,NA,NA,NA,NA,3.16666666666667,1.8,1.8,NA,2,NA,2,NA,1,NA,NA
"14","Gizzard shad",25,7,8.66666666666667,4,1.5,2.33333333333333,7.61538461538461,3.75,19.0666666666667,4.42857142857143,3.25,10,30.4545454545455,3.61538461538462,7.77777777777778,3,6.75,8.71428571428571
"15","Golden shiner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"16","Goldfish",NA,1,NA,NA,NA,NA,1,1.5,1.375,1.88888888888889,2,1,1,NA,NA,1,NA,NA
"17","Green sunfish",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1.66666666666667
"18","Largemouth bass",2,2,1.5,NA,4,19,1.4,2.22222222222222,2.375,4.33333333333333,5.875,7.6,6.5,3.7,5.5,1.5,3.28571428571429,4.66666666666667
"19","Logperch",NA,14,5,NA,2,18,NA,4.6,7.5,2.33333333333333,1,5.25,7.25,6.6,14.5714285714286,2,7.6,8
"20","Northern pike",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"21","Pumpkinseed",NA,NA,NA,NA,NA,2,1,1.5,1.25,2.25,1.5,6.6,2,5,2.33333333333333,1,4,5
"22","Rock bass",1,1,1,NA,3,2,2,1,2,1.33333333333333,2,3.33333333333333,2.4,3.33333333333333,6.8,1.5,4.16666666666667,4.85714285714286
"23","Round Goby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2
"24","Rudd",NA,NA,NA,NA,NA,1,2,1,2,1.6,5.66666666666667,6.6,NA,NA,1,2,1.5,1
"25","Shorthead redhorse",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Smallmouth bass",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1.5
"27","Spottail shiner",NA,1,NA,NA,NA,NA,5,17,1.75,1,8,8,2,1,1,1,NA,1
"28","Walleye(yellow pickerel)",NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,1,1,1,1,1
"29","White perch",2,2.5,1,NA,NA,4.5,1.75,1,1,1.33333333333333,6.25,2.5,2.16666666666667,2.6,1.66666666666667,1,1.5,2.66666666666667
"30","White sucker",NA,1,NA,NA,NA,NA,2,2,NA,1,1,2,NA,1.33333333333333,NA,NA,NA,2
"31","Yellow perch",NA,1,2,NA,NA,NA,1.33333333333333,2.75,1.66666666666667,2.5,2.4,6,1,1,3.5,1,1,1
"32",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
