"","Common_Name","Year","Area","AreaYear","Transect","Count"
"1","Alewife","2018","Macassa Bay","Macassa Bay-2018","HH56",5
"2","Alewife","2019","Macassa Bay","Macassa Bay-2019","HH55",9
"3","Alewife","2019","Macassa Bay","Macassa Bay-2019","HH56",7
"4","Alewife","2019","Macassa Bay","Macassa Bay-2019","HH57",11
"5","Alewife","2019","Macassa Bay","Macassa Bay-2019","HH58",2
"6","Alewife","2019","Macassa Bay","Macassa Bay-2019","HH59",3
"7","Alewife","2019","Macassa Bay","Macassa Bay-2019","HH60",7
"8","Alewife","2019","Piers 5-7","Piers 5-7-2019","HH50",21
"9","Alewife","2019","Piers 5-7","Piers 5-7-2019","HH51",4
"10","Alewife","2019","Piers 5-7","Piers 5-7-2019","HH53",4
"11","Alewife","2019","Piers 5-7","Piers 5-7-2019","HH54",7
"12","Alewife","2020","Macassa Bay","Macassa Bay-2020","HH59",1
"13","Alewife","2020","Piers 5-7","Piers 5-7-2020","HH51",1
"14","Alewife","2021","Macassa Bay","Macassa Bay-2021","HH56",1
"15","Alewife","2022","Macassa Bay","Macassa Bay-2022","HH55",1
"16","Alewife","2022","Macassa Bay","Macassa Bay-2022","HH57",1
"17","Alewife","2022","Macassa Bay","Macassa Bay-2022","HH58",2
"18","American eel","2018","Construction Site","Construction Site-2018","HH52",1
"19","American eel","2018","Macassa Bay","Macassa Bay-2018","HH56",1
"20","American eel","2019","Piers 5-7","Piers 5-7-2019","HH50",1
"21","American eel","2019","Piers 5-7","Piers 5-7-2019","HH53",2
"22","American eel","2023","Piers 5-7","Piers 5-7-2023","HH51",1
"23","Bigmouth buffalo","2019","Macassa Bay","Macassa Bay-2019","HH60",1
"24","Bigmouth buffalo","2020","Macassa Bay","Macassa Bay-2020","HH57",1
"25","Bigmouth buffalo","2021","Piers 5-7","Piers 5-7-2021","HH51",2
"26","Bigmouth buffalo","2022","Macassa Bay","Macassa Bay-2022","HH58",1
"27","Bigmouth buffalo","2023","Piers 5-7","Piers 5-7-2023","HH51",1
"28","Bluegill","2018","Macassa Bay","Macassa Bay-2018","HH60",2
"29","Bluegill","2018","Piers 5-7","Piers 5-7-2018","HH50",21
"30","Bluegill","2018","Piers 5-7","Piers 5-7-2018","HH51",7
"31","Bluegill","2018","Piers 5-7","Piers 5-7-2018","HH53",3
"32","Bluegill","2019","Macassa Bay","Macassa Bay-2019","HH55",3
"33","Bluegill","2019","Macassa Bay","Macassa Bay-2019","HH57",1
"34","Bluegill","2019","Macassa Bay","Macassa Bay-2019","HH59",2
"35","Bluegill","2019","Macassa Bay","Macassa Bay-2019","HH60",1
"36","Bluegill","2019","Piers 5-7","Piers 5-7-2019","HH50",11
"37","Bluegill","2019","Piers 5-7","Piers 5-7-2019","HH51",7
"38","Bluegill","2019","Piers 5-7","Piers 5-7-2019","HH53",8
"39","Bluegill","2019","Piers 5-7","Piers 5-7-2019","HH54",1
"40","Bluegill","2020","Macassa Bay","Macassa Bay-2020","HH55",4
"41","Bluegill","2020","Macassa Bay","Macassa Bay-2020","HH57",1
"42","Bluegill","2020","Macassa Bay","Macassa Bay-2020","HH59",3
"43","Bluegill","2020","Macassa Bay","Macassa Bay-2020","HH60",8
"44","Bluegill","2020","Piers 5-7","Piers 5-7-2020","HH50",5
"45","Bluegill","2020","Piers 5-7","Piers 5-7-2020","HH51",13
"46","Bluegill","2020","Piers 5-7","Piers 5-7-2020","HH53",1
"47","Bluegill","2021","Macassa Bay","Macassa Bay-2021","HH55",9
"48","Bluegill","2021","Macassa Bay","Macassa Bay-2021","HH57",2
"49","Bluegill","2021","Macassa Bay","Macassa Bay-2021","HH58",10
"50","Bluegill","2021","Macassa Bay","Macassa Bay-2021","HH59",2
"51","Bluegill","2021","Macassa Bay","Macassa Bay-2021","HH60",8
"52","Bluegill","2021","Piers 5-7","Piers 5-7-2021","HH50",5
"53","Bluegill","2021","Piers 5-7","Piers 5-7-2021","HH51",3
"54","Bluegill","2021","Piers 5-7","Piers 5-7-2021","HH53",1
"55","Bluegill","2022","Macassa Bay","Macassa Bay-2022","HH55",5
"56","Bluegill","2022","Macassa Bay","Macassa Bay-2022","HH56",2
"57","Bluegill","2022","Macassa Bay","Macassa Bay-2022","HH57",1
"58","Bluegill","2022","Macassa Bay","Macassa Bay-2022","HH58",5
"59","Bluegill","2022","Macassa Bay","Macassa Bay-2022","HH59",2
"60","Bluegill","2022","Piers 5-7","Piers 5-7-2022","HH50",17
"61","Bluegill","2022","Piers 5-7","Piers 5-7-2022","HH51",2
"62","Bluegill","2022","Piers 5-7","Piers 5-7-2022","HH53",6
"63","Bluegill","2022","Piers 5-7","Piers 5-7-2022","HH54",5
"64","Bluegill","2023","Construction Site","Construction Site-2023","HH52",3
"65","Bluegill","2023","Macassa Bay","Macassa Bay-2023","HH55",12
"66","Bluegill","2023","Macassa Bay","Macassa Bay-2023","HH56",4
"67","Bluegill","2023","Macassa Bay","Macassa Bay-2023","HH58",2
"68","Bluegill","2023","Macassa Bay","Macassa Bay-2023","HH59",1
"69","Bluegill","2023","Macassa Bay","Macassa Bay-2023","HH60",20
"70","Bluegill","2023","Piers 5-7","Piers 5-7-2023","HH50",12
"71","Bluegill","2023","Piers 5-7","Piers 5-7-2023","HH51",20
"72","Bluegill","2023","Piers 5-7","Piers 5-7-2023","HH53",2
"73","Bluegill","2023","Piers 5-7","Piers 5-7-2023","HH54",7
"74","Bluntnose minnow","2022","Macassa Bay","Macassa Bay-2022","HH59",1
"75","Bowfin","2018","Piers 5-7","Piers 5-7-2018","HH51",1
"76","Brook silverside","2018","Piers 5-7","Piers 5-7-2018","HH50",3
"77","Brook silverside","2018","Piers 5-7","Piers 5-7-2018","HH51",1
"78","Brook silverside","2019","Construction Site","Construction Site-2019","HH52",4
"79","Brook silverside","2019","Macassa Bay","Macassa Bay-2019","HH55",9
"80","Brook silverside","2019","Macassa Bay","Macassa Bay-2019","HH56",5
"81","Brook silverside","2019","Macassa Bay","Macassa Bay-2019","HH57",1
"82","Brook silverside","2019","Macassa Bay","Macassa Bay-2019","HH58",6
"83","Brook silverside","2019","Macassa Bay","Macassa Bay-2019","HH60",6
"84","Brook silverside","2019","Piers 5-7","Piers 5-7-2019","HH50",8
"85","Brook silverside","2019","Piers 5-7","Piers 5-7-2019","HH51",4
"86","Brook silverside","2019","Piers 5-7","Piers 5-7-2019","HH53",3
"87","Brook silverside","2019","Piers 5-7","Piers 5-7-2019","HH54",9
"88","Brook silverside","2020","Construction Site","Construction Site-2020","HH52",2
"89","Brook silverside","2020","Macassa Bay","Macassa Bay-2020","HH55",15
"90","Brook silverside","2020","Macassa Bay","Macassa Bay-2020","HH56",4
"91","Brook silverside","2020","Macassa Bay","Macassa Bay-2020","HH57",1
"92","Brook silverside","2020","Macassa Bay","Macassa Bay-2020","HH58",2
"93","Brook silverside","2020","Macassa Bay","Macassa Bay-2020","HH59",5
"94","Brook silverside","2020","Macassa Bay","Macassa Bay-2020","HH60",5
"95","Brook silverside","2020","Piers 5-7","Piers 5-7-2020","HH51",2
"96","Brook silverside","2020","Piers 5-7","Piers 5-7-2020","HH54",1
"97","Brook silverside","2021","Construction Site","Construction Site-2021","HH52",3
"98","Brook silverside","2021","Macassa Bay","Macassa Bay-2021","HH55",11
"99","Brook silverside","2021","Macassa Bay","Macassa Bay-2021","HH56",3
"100","Brook silverside","2021","Macassa Bay","Macassa Bay-2021","HH57",14
"101","Brook silverside","2021","Macassa Bay","Macassa Bay-2021","HH58",4
"102","Brook silverside","2021","Macassa Bay","Macassa Bay-2021","HH59",6
"103","Brook silverside","2021","Macassa Bay","Macassa Bay-2021","HH60",7
"104","Brook silverside","2021","Piers 5-7","Piers 5-7-2021","HH50",9
"105","Brook silverside","2021","Piers 5-7","Piers 5-7-2021","HH51",5
"106","Brook silverside","2021","Piers 5-7","Piers 5-7-2021","HH53",3
"107","Brook silverside","2021","Piers 5-7","Piers 5-7-2021","HH54",4
"108","Brook silverside","2022","Construction Site","Construction Site-2022","HH52",12
"109","Brook silverside","2022","Macassa Bay","Macassa Bay-2022","HH55",10
"110","Brook silverside","2022","Macassa Bay","Macassa Bay-2022","HH56",17
"111","Brook silverside","2022","Macassa Bay","Macassa Bay-2022","HH57",15
"112","Brook silverside","2022","Macassa Bay","Macassa Bay-2022","HH59",3
"113","Brook silverside","2022","Piers 5-7","Piers 5-7-2022","HH50",1
"114","Brook silverside","2022","Piers 5-7","Piers 5-7-2022","HH51",20
"115","Brook silverside","2022","Piers 5-7","Piers 5-7-2022","HH53",5
"116","Brook silverside","2022","Piers 5-7","Piers 5-7-2022","HH54",10
"117","Brook silverside","2023","Construction Site","Construction Site-2023","HH52",3
"118","Brook silverside","2023","Macassa Bay","Macassa Bay-2023","HH55",3
"119","Brook silverside","2023","Macassa Bay","Macassa Bay-2023","HH56",2
"120","Brook silverside","2023","Macassa Bay","Macassa Bay-2023","HH58",2
"121","Brook silverside","2023","Macassa Bay","Macassa Bay-2023","HH59",1
