"","YMD","Year","Area","Transect","Count"
"1","2018-05-28","2018","Macassa Bay","HH55",11
"2","2018-05-28","2018","Macassa Bay","HH56",11
"3","2018-05-28","2018","Macassa Bay","HH57",20
"4","2018-05-28","2018","Macassa Bay","HH58",9
"5","2018-05-29","2018","Macassa Bay","HH59",29
"6","2018-05-29","2018","Macassa Bay","HH60",35
"7","2018-05-30","2018","Construction Site","HH52",22
"8","2018-05-30","2018","Piers 5-7","HH50",22
"9","2018-05-30","2018","Piers 5-7","HH51",24
"10","2018-05-30","2018","Piers 5-7","HH53",28
"11","2018-05-30","2018","Piers 5-7","HH54",4
"12","2018-06-26","2018","Construction Site","HH52",12
"13","2018-06-26","2018","Macassa Bay","HH55",6
"14","2018-06-26","2018","Macassa Bay","HH56",16
"15","2018-06-26","2018","Macassa Bay","HH57",8
"16","2018-06-26","2018","Piers 5-7","HH50",23
"17","2018-06-26","2018","Piers 5-7","HH51",26
"18","2018-06-26","2018","Piers 5-7","HH53",23
"19","2018-06-27","2018","Macassa Bay","HH58",5
"20","2018-06-27","2018","Macassa Bay","HH59",23
"21","2018-06-27","2018","Macassa Bay","HH60",8
"22","2018-08-09","2018","Construction Site","HH52",3
"23","2018-08-09","2018","Macassa Bay","HH58",11
"24","2018-08-09","2018","Macassa Bay","HH59",5
"25","2018-08-09","2018","Piers 5-7","HH50",10
"26","2018-08-09","2018","Piers 5-7","HH51",20
"27","2018-08-09","2018","Piers 5-7","HH53",1
"28","2018-10-11","2018","Piers 5-7","HH50",36
"29","2018-10-11","2018","Piers 5-7","HH51",44
"30","2019-05-21","2019","Construction Site","HH52",3
"31","2019-05-21","2019","Piers 5-7","HH50",14
"32","2019-05-21","2019","Piers 5-7","HH51",10
"33","2019-05-21","2019","Piers 5-7","HH53",28
"34","2019-05-21","2019","Piers 5-7","HH54",9
"35","2019-05-23","2019","Macassa Bay","HH55",26
"36","2019-05-23","2019","Macassa Bay","HH56",15
"37","2019-05-23","2019","Macassa Bay","HH57",11
"38","2019-05-23","2019","Macassa Bay","HH58",5
"39","2019-05-23","2019","Macassa Bay","HH59",11
"40","2019-05-23","2019","Macassa Bay","HH60",19
